127.0.0.1 - - [05/Aug/2025:13:54:28 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2025:13:54:28 +0900] "GET /webpro/0804/button_calc.html HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [05/Aug/2025:13:54:29 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:18:33 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:18:40 +0900] "GET /webpro/0804/button_calc.html HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:18:40 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:18:41 +0900] "GET /webpro/0804/button_calc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:18:41 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:19:14 +0900] "GET /webpro/0804/button_calc.html HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:19:14 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:19:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
192.168.143.13 - - [05/Aug/2025:14:29:29 +0900] "OPTIONS / HTTP/1.1" 200 -
192.168.143.37 - - [05/Aug/2025:14:29:44 +0900] "OPTIONS / HTTP/1.1" 200 -
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "OPTIONS /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%B0%B8%EA%B3%A0%EC%9E%90%EB%A3%8C/%ED%98%BC%EA%B3%B5%EC%9E%90%EB%B0%94PPT HTTP/1.1" 200 -
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%B0%B8%EA%B3%A0%EC%9E%90%EB%A3%8C/%ED%98%BC%EA%B3%B5%EC%9E%90%EB%B0%94PPT HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%B0%B8%EA%B3%A0%EC%9E%90%EB%A3%8C HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%B0%B8%EA%B3%A0%EC%9E%90%EB%A3%8C/%ED%98%BC%EA%B3%B5%EC%9E%90%EB%B0%94PPT HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:46 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%B0%B8%EA%B3%A0%EC%9E%90%EB%A3%8C HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:47 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:47 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EC%9B%B9%ED%94%84%EB%A1%9C HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:47 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.27 - - [05/Aug/2025:14:29:50 +0900] "OPTIONS / HTTP/1.1" 200 -
192.168.143.37 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EC%9B%B9%ED%94%84%EB%A1%9C HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EC%9B%B9%ED%94%84%EB%A1%9C HTTP/1.1" 501 789
192.168.143.37 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94 HTTP/1.1" 501 789
192.168.143.27 - - [05/Aug/2025:14:29:53 +0900] "OPTIONS /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%98%88%EC%A0%9C%EC%86%8C%EC%8A%A4 HTTP/1.1" 200 -
192.168.143.27 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%98%88%EC%A0%9C%EC%86%8C%EC%8A%A4 HTTP/1.1" 501 789
192.168.143.27 - - [05/Aug/2025:14:29:53 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D HTTP/1.1" 501 789
192.168.143.27 - - [05/Aug/2025:14:29:54 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D/%EC%98%88%EC%A0%9C%EC%86%8C%EC%8A%A4 HTTP/1.1" 501 789
192.168.143.27 - - [05/Aug/2025:14:29:54 +0900] "PROPFIND /%EA%B3%B5%EC%9C%A0%ED%8F%B4%EB%8D%94/%EA%B0%9D%EC%B2%B4%EC%A7%80%ED%96%A5%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D HTTP/1.1" 501 789
